,neighborhood,latitude,longitude,size_in_sqft,price_per_sqft,no_of_bedrooms,no_of_bathrooms,quality
1035,Mohammed Bin Rashid City,25.171460999999997,55.2758,742,1737.05,1,2,1
1036,Mohammed Bin Rashid City,25.171460999999997,55.2758,742,1737.05,1,2,1
1037,Mohammed Bin Rashid City,25.171460999999997,55.2758,742,1737.05,1,2,2
1038,Old Town,25.193542,55.277061,2678,1829.72,3,5,1
1039,Palm Jumeirah,25.126233,55.154509999999995,1740,2899.91,2,2,2
1040,Downtown Dubai,25.200879,55.276331000000006,822,2165.45,1,2,2
1041,Al Furjan,25.026191,55.156948,378,925.93,0,1,2
1042,Dubai Hills Estate,25.109367,55.247980000000005,1969,1066.53,3,3,2
1043,Dubai Sports City,25.037236,55.20598,822,748.18,1,2,2
1044,Dubai Marina,25.077213,55.136939,1875,1277.33,3,3,2
1045,Dubai Marina,25.081576,55.146947999999995,624,1048.08,1,1,1
1046,Dubai Marina,25.088431,55.146759,1180,1355.93,2,2,2
1047,Business Bay,25.187662,55.28406,530,1132.08,0,1,3
1048,Dubai Marina,25.087251,55.145574,1746,1718.21,3,4,1
1049,DIFC,25.211032,55.28205,942,1326.96,1,2,2
1050,Palm Jumeirah,25.111902,55.138103,321,1946.69,0,1,3
1051,Dubai Festival City,25.218977,55.367945,2256,864.36,3,4,2
1052,Palm Jumeirah,25.132021,55.151405,1034,2613.15,1,2,2
1053,Jumeirah Beach Residence,25.07359,55.126352,1789,2576.86,2,3,2
1054,Jumeirah Beach Residence,25.07359,55.126352,705,2808.51,1,2,2
1055,Jumeirah Beach Residence,25.07359,55.126352,2590,2239.38,4,5,2
1056,Jumeirah Beach Residence,25.07359,55.126352,1967,1855.62,2,3,2
1057,The Views,25.093319,55.168887,1343,967.98,2,2,3
1058,Jumeirah Beach Residence,25.079453,55.136014,1731,924.32,2,3,2
1059,Jumeirah Beach Residence,25.07359,55.126352,766,2793.73,1,2,2
1060,Palm Jumeirah,25.110559,55.137575,2250,1466.67,3,3,1
1061,Downtown Dubai,25.193806,55.284974,1040,1490.38,1,2,2
1062,Downtown Dubai,25.197316,55.274196,1378,1632.8,1,2,3
1063,Old Town,25.192054,55.27969,810,1097.39,1,1,2
1064,Al Furjan,25.027786,55.15669499999999,380,1050.0,0,1,3
1065,The Views,25.090660999999997,55.171744,857,950.99,1,1,2
1066,Jumeirah Beach Residence,25.083858,55.138714,2574,2233.88,3,4,2
1067,Downtown Dubai,25.186457,55.277512,1088,1079.96,1,2,2
1068,Dubai Marina,25.087751,55.147627,1258,834.62,2,2,2
1069,Palm Jumeirah,25.111681,55.142546,1589,1038.39,2,2,2
1070,Al Kifaf,25.233787,55.294217,990,1372.73,1,2,2
1071,Downtown Dubai,25.201842000000003,55.280473,1105,1447.96,2,3,1
1072,Downtown Dubai,25.191107,55.26991,1725,956.52,2,3,1
1073,Dubai Marina,25.084335999999997,55.14925,2590,1139.0,4,5,2
1074,Downtown Dubai,25.186913,55.277919,1560,1089.74,2,3,2
1075,The Views,25.093596,55.166633999999995,2528,593.35,3,3,2
1076,Dubai Marina,25.072316,55.137461,613,970.64,1,2,2
1077,Meydan,25.158106,55.295016,1703,631.24,2,2,1
1078,Jumeirah Village Circle,25.057252,55.214303,1474,471.51,2,3,1
1079,Jumeirah Beach Residence,25.07715,55.135515000000005,1286,933.13,2,2,1
1080,Greens,25.090455,55.174096,1286,870.92,2,2,1
1081,Downtown Dubai,25.19752,55.270168000000005,774,1227.39,1,2,1
1082,Mohammed Bin Rashid City,25.171460999999997,55.2758,1018,1730.48,1,1,2
1083,Mohammed Bin Rashid City,25.176965,55.311826,670,1236.18,1,2,2
1084,Mohammed Bin Rashid City,25.176965,55.311826,1129,1274.68,2,3,2
1085,Mohammed Bin Rashid City,25.176965,55.311826,1228,1343.65,2,3,2
1086,Dubai Marina,25.079385,55.141932999999995,5757,607.78,4,5,2
1087,Jumeirah Beach Residence,25.073146,55.13154,1400,964.29,2,3,2
1088,Dubai Marina,25.082518,55.146735,1875,1066.64,2,3,2
1089,Al Furjan,25.027686,55.15463199999999,1700,720.59,3,4,2
1090,Jumeirah Village Circle,25.059555,55.201659,1321,567.75,2,3,2
1091,DIFC,25.206412,55.275199,2621,1507.06,3,3,2
1092,Downtown Dubai,25.194761,55.282343,1518,2437.42,2,3,2
1093,Downtown Dubai,25.196489,55.272126,5383,2948.73,4,5,3
1094,Downtown Dubai,25.196398,55.271002,860,1220.93,1,2,2
1095,Downtown Dubai,25.19702,55.271023,1198,1210.35,2,3,2
1096,Jumeirah Village Circle,25.056706,55.20790699999999,997,604.81,1,2,2
1097,Jumeirah Beach Residence,25.082647,55.135003000000005,2590,2084.94,4,4,2
1098,Jumeirah Beach Residence,25.082647,55.135003000000005,1180,1949.15,2,3,2
1099,The Views,25.090953,55.16954200000001,1478,1082.54,2,2,1
1100,Meydan,25.17299,55.305441,853,1448.13,2,2,2
1101,Greens,25.091282999999997,55.174064,758,778.36,1,1,3
1102,Downtown Dubai,25.187093,55.278912,1450,1103.38,2,3,2
1103,Motor City,25.045243,55.247508,809,568.6,0,1,2
1104,Jumeirah Lake Towers,25.067019,55.139829000000006,759,922.27,1,2,2
1113,Jumeirah Village Circle,25.051528,55.212972,1592,656.87,2,3,3
1114,Jumeirah Village Circle,25.060439,55.202273,728,921.33,1,2,2
1115,Dubai Marina,25.086376,55.14736,775,2322.58,1,2,2
1116,Dubai Marina,25.081622,55.141977,1480,1385.14,2,3,2
1117,Jumeirah Village Circle,25.046296,55.200782999999994,401,1095.27,0,1,2
1125,Jumeirah Village Circle,25.060439,55.202273,728,921.33,1,2,2
1126,Jumeirah Village Circle,25.04866,55.20955,803,773.0,1,2,2
1128,Dubai Marina,25.084418,55.144879,1973,1115.05,3,2,2
1129,Downtown Dubai,25.186836,55.276951,915,1113.66,1,1,2
1130,Downtown Dubai,25.19045,55.272402,838,1252.98,1,2,2
1131,Dubai Marina,25.087251,55.145574,848,1413.92,1,2,2
1132,The Hills,25.078859,55.15794,1459,1370.8,2,3,2
1133,Dubai Marina,25.086376,55.14736,838,1730.31,1,2,2
1134,Dubai Creek Harbour (The Lagoons),25.2065,55.34505600000001,1567,1148.69,2,3,2
1135,The Views,25.088533,55.171838,750,1131.93,1,1,2
1136,Palm Jumeirah,25.111902,55.138103,637,1558.69,1,1,2
1137,Meydan,25.172418,55.306951,330,1590.91,0,1,2
1138,Culture Village,25.226946,55.343628,607,1235.58,0,1,1
1139,Jumeirah Village Circle,25.053111,55.20663,387,723.51,0,1,1
1140,Palm Jumeirah,25.109267000000003,55.145799,2000,825.0,3,4,2
1141,Dubai Marina,25.086575,55.147768000000006,1386,1424.96,2,3,2
1142,Dubai Marina,25.086575,55.147768000000006,1386,1370.85,2,3,2
1148,Downtown Dubai,25.195236,55.268641,1709,2554.64,3,3,2
1149,Meydan,25.145181,55.288017,1535,814.33,2,2,2
1150,Palm Jumeirah,25.116492,55.141387,2281,1534.41,3,4,2
1151,Old Town,25.195098,55.277077,1024,1708.98,1,2,1
1152,Old Town,25.193542,55.277061,1442,1317.61,1,2,1
1153,Dubai Marina,25.078967,55.142559,2164,831.79,3,2,2
1154,Downtown Dubai,25.197316,55.274196,2056,1459.14,2,4,2
1155,Downtown Dubai,25.194935,55.282665,1510,1456.92,2,3,2
1161,Downtown Dubai,25.187093,55.278912,1455,1134.02,2,3,1
1165,Downtown Dubai,25.198796,55.271342,1400,1357.14,2,3,2
1170,Dubai Marina,25.069259,55.12856899999999,592,1435.81,1,1,1
1171,Jumeirah Village Circle,25.046296,55.200782999999994,692,956.09,1,2,2
1173,Dubai Marina,25.073185,55.138325,982,911.41,2,2,1
1176,Dubai Hills Estate,25.107984,55.244923,2195,1252.85,3,2,2
1177,DAMAC Hills,25.020437,55.244958,1085,1105.99,2,3,1
1178,Greens,25.091939,55.173463,440,1000.0,0,1,2
1179,Jumeirah Village Circle,25.064662,55.214103,3688,556.1,4,5,2
1180,Dubai Harbour,25.0967,55.139276,750,1866.67,1,2,2
1181,Dubai Harbour,25.0967,55.139276,1200,2041.67,2,3,2
1182,Dubai Harbour,25.09938,55.141275,745,1577.18,1,2,2
1183,The Hills,25.077955,55.159380000000006,1282,1170.05,2,2,2
1184,International City,25.167982,55.398989,933,783.49,2,2,2
1185,Dubai Marina,25.087251,55.145574,968,1549.59,1,2,1
1186,Palm Jumeirah,25.104115,55.14847,1223,2044.15,1,2,2
1187,Jumeirah Lake Towers,25.067476,55.138353,829,844.39,1,1,1
1188,Jumeirah Beach Residence,25.082647,55.135003000000005,638,1880.88,1,1,1
1189,Palm Jumeirah,25.113208,55.138932,3234,4502.16,3,4,2
1190,Dubai Marina,25.08333,55.144753,1006,2137.18,2,2,2
1191,Downtown Dubai,25.191719,55.270677,1995,1553.88,3,5,2
1192,Dubai Marina,25.083121,55.141064,1775,783.1,3,3,2
1193,Jumeirah Beach Residence,25.082397,55.14066,1882,717.32,3,4,3
1194,Dubai Marina,25.074958,55.138542,1067,1780.69,2,2,2
1195,Dubai Marina,25.078613,55.138122,1226,921.7,2,2,2
1196,Remraam,25.003373,55.246629000000006,1205,389.21,1,1,1
1197,Remraam,25.004319,55.250657999999994,758,663.59,1,2,1
1198,Remraam,25.005973,55.249599,494,625.5,0,1,1
1199,Jumeirah Village Circle,25.051384,55.2121,829,723.64,1,2,1
1200,Dubai Marina,25.090136,55.150381,1663,1262.78,2,3,2
1201,Motor City,25.044960999999997,55.243607999999995,1932,672.88,3,4,2
1202,Downtown Dubai,25.197316,55.274196,1103,2039.79,1,2,3
1203,Downtown Dubai,25.197316,55.274196,1639,2440.44,2,3,3
1204,Dubai South (Dubai World Central),24.934402,55.223732,437,663.62,0,1,2
1205,Dubai Marina,25.068933,55.128814,725,1379.31,1,2,2
1206,Dubai South (Dubai World Central),24.934402,55.223732,882,623.58,1,2,2
1207,Dubai South (Dubai World Central),24.946417,55.211718000000005,516,775.19,0,1,2
1208,Dubai Land,25.115211,55.362565,1390,503.6,2,3,1
1209,Jumeirah,25.215192,55.235827,1521,3616.04,1,2,2
1210,Downtown Dubai,25.201204,55.270189,1049,2287.89,1,2,3
1211,Business Bay,25.187683,55.2699,427,1753.84,0,1,2
1212,City Walk,25.202965,55.260897,943,1484.62,1,2,2
1213,Dubai Marina,25.081243,55.14512,2314,950.73,3,4,3
1214,Dubai Marina,25.078367,55.14041,1793,920.25,2,3,2
1215,Al Furjan,25.022618,55.14935,950,763.16,2,3,2
1216,Motor City,25.045501,55.246843000000005,1845,487.8,2,2,1
1217,Dubai Marina,25.087751,55.147627,1198,792.99,2,2,1
1218,The Views,25.086886,55.173227,1680,1190.48,3,4,1
1219,Dubai Creek Harbour (The Lagoons),25.209767000000003,55.345907999999994,1162,1376.94,2,3,3
1220,Dubai Creek Harbour (The Lagoons),25.20863,55.345967,1441,1368.43,3,3,2
1221,Jumeirah Village Circle,25.058746,55.209389,2512,636.94,2,3,2
1222,Business Bay,25.185311,55.285778,896,1450.89,1,2,2
1223,Old Town,25.190044,55.277388,934,1632.76,1,2,2
1224,Business Bay,25.185772,55.2861,2370,1181.43,3,4,2
1225,Greens,25.095723,55.169499,1295,845.56,2,2,2
1226,Business Bay,25.183515,55.26667,584,1232.88,0,1,2
1227,The Views,25.088903,55.171065000000006,850,1529.41,1,1,1
1228,Downtown Dubai,25.197316,55.274196,2056,1313.23,2,4,1
1229,Dubai Marina,25.078491,55.140297,3562,982.59,3,5,1
1230,Dubai Hills Estate,25.109367,55.247980000000005,1200,1066.67,2,2,2
1231,The Views,25.090953,55.16954200000001,1408,1136.36,2,1,1
1232,Jumeirah Village Circle,25.049301,55.198896,814,890.66,1,2,1
1233,Jumeirah Lake Towers,25.067019,55.139829000000006,1338,975.34,2,3,2
1234,Dubai Marina,25.086726,55.145205,1376,1217.3,2,3,1
1235,Jumeirah Beach Residence,25.080327,55.13821899999999,1402,998.57,2,3,2
1236,Downtown Dubai,25.198316,55.270757999999994,844,1836.49,1,2,2
1237,Al Barsha,25.07001,55.245729,418,1180.18,0,1,2
1238,Old Town,25.193542,55.277061,1433,1465.46,2,3,2
1239,Downtown Dubai,25.187622,55.278946999999995,1635,1070.34,2,3,1
1240,Palm Jumeirah,25.132519,55.151574,1008,1860.12,1,2,2
1241,Barsha Heights (Tecom),25.096869,55.175364,296,1351.35,0,1,1
1242,Jumeirah Lake Towers,25.079501,55.151503000000005,1650,818.18,2,3,2
1243,Dubai Marina,25.06873,55.128758,592,1342.91,1,1,2
1244,Dubai Hills Estate,25.109367,55.247980000000005,1362,1064.61,2,3,2
1245,Dubai Marina,25.090418,55.14874,1300,884.62,2,3,2
1246,The Views,25.088533,55.171838,755,1124.5,1,1,2
1247,Jumeirah Village Circle,25.048292,55.207037,680,816.18,1,2,2
1248,Downtown Dubai,25.198316,55.270757999999994,1453,1651.75,2,3,2
1249,Downtown Dubai,25.195039,55.26942,4535,1968.0,4,5,2
1250,Downtown Dubai,25.198796,55.271342,1790,2290.5,3,4,2
1251,Jumeirah Beach Residence,25.07715,55.135515000000005,1374,1128.09,2,3,2
1252,Downtown Dubai,25.191719,55.270677,1443,1386.0,2,3,2
1253,World Trade Center,25.226577,55.289442,1744,1003.44,2,3,2
1254,World Trade Center,25.226577,55.289442,2939,935.69,3,4,2
1255,World Trade Center,25.226577,55.289442,1453,894.7,1,2,1
1256,World Trade Center,25.226577,55.289442,3466,1197.35,4,5,2
1257,World Trade Center,25.226577,55.289442,1249,1000.8,2,2,2
1258,Downtown Dubai,25.198316,55.270757999999994,1435,2543.55,2,2,2
1259,Downtown Dubai,25.201424,55.27079200000001,2562,3864.17,4,5,2
1260,Old Town,25.189236,55.276132999999994,1966,1233.47,3,4,2
1261,Downtown Dubai,25.190873999999997,55.281666,1300,999.23,2,2,2
1262,World Trade Center,25.226577,55.289442,4155,1323.71,4,5,1
1263,The Views,25.090953,55.16954200000001,1329,1045.9,2,2,1
1264,Al Barsha,25.069327,55.245051,764,811.52,1,2,1
1265,Jumeirah Village Circle,25.06727,55.211204,1993,647.27,3,4,2
1266,The Views,25.088533,55.171838,751,1171.77,1,1,1
1267,Business Bay,25.184351,55.275543000000006,401,1945.14,0,1,2
1268,Dubai Harbour,25.0967,55.139276,746,1891.27,1,2,2
1269,Downtown Dubai,25.195236,55.268641,1485,2356.9,3,3,2
1270,Dubai Creek Harbour (The Lagoons),25.208511,55.342824,801,1435.71,1,2,2
1271,The Views,25.090953,55.16954200000001,1334,1161.92,2,2,1
1272,DAMAC Hills,25.020894,55.255571,1569,860.42,2,3,2
1273,The Views,25.09072,55.170186,430,1581.4,0,1,2
1274,Al Barsha,25.07001,55.245729,620,1125.47,1,2,1
1275,Dubai Marina,25.075974,55.135687,768,1236.98,1,1,2
1276,Dubai Marina,25.074307,55.132693999999994,1076,1208.18,1,2,2
1277,Downtown Dubai,25.191719,55.270677,1406,1315.79,2,3,2
1278,Motor City,25.046706,55.246714,1358,633.28,2,3,1
1279,Downtown Dubai,25.201718,55.270982999999994,1711,1256.58,2,3,2
1280,Dubai Marina,25.071448,55.131088,2352,850.34,2,2,1
1281,Dubai Creek Harbour (The Lagoons),25.209767000000003,55.345907999999994,1141,1314.64,2,3,2
1282,Downtown Dubai,25.198796,55.271342,1817,1375.89,3,4,3
1283,Jumeirah Lake Towers,25.073851,55.144174,946,771.67,1,2,2
1284,World Trade Center,25.226577,55.289442,2937,953.35,3,4,2
1285,Jumeirah Beach Residence,25.08058,55.139146999999994,1902,788.64,3,4,2
1286,Dubai Hills Estate,25.111805,55.24734,998,1474.84,2,2,1
1287,Jumeirah Village Circle,25.049772,55.204243000000005,1361,881.7,2,3,2
1288,Business Bay,25.180861,55.279295,1349,1187.55,3,3,3
1289,DIFC,25.209806,55.278974,1025,1170.73,1,2,1
1290,Palm Jumeirah,25.115747,55.142615,1869,1230.6,2,2,2
1291,Downtown Dubai,25.197316,55.274196,1378,1614.66,1,2,2
1292,Al Barari,25.099422,55.31296700000001,1917,1095.46,1,1,1
1293,Al Barari,25.099422,55.31296700000001,1915,1201.04,2,2,1
1294,Downtown Dubai,25.19331,55.280919,1848,1271.65,2,2,1
1295,Dubai Marina,25.087251,55.145574,1290,1550.39,2,3,2
1296,Dubai Marina,25.087251,55.145574,1487,1479.49,2,3,2
1297,Dubai Marina,25.075454,55.133788,1553,1609.76,2,3,2
1298,Palm Jumeirah,25.116329,55.138654,1770,960.45,2,3,2
1299,Dubai Harbour,25.099744,55.14145500000001,1139,1711.93,2,2,2
1300,Downtown Dubai,25.195237,55.271449,1861,3114.93,3,4,2
1301,Palm Jumeirah,25.105959,55.148293,1303,844.21,1,2,3
1302,Palm Jumeirah,25.111822,55.140521,2414,1014.91,3,4,2
1303,The Views,25.093562,55.167857,1351,740.19,2,2,2
1304,Dubai Festival City,25.218977,55.367945,3116,994.87,3,5,2
1305,Downtown Dubai,25.187093,55.278912,1450,1137.93,2,3,1
1306,Downtown Dubai,25.187093,55.278912,933,1178.99,1,2,1
1307,Arjan,25.060523,55.239771999999995,822,699.51,1,2,2
1308,Arjan,25.06705,55.245559,1052,684.41,2,2,2
1309,Downtown Dubai,25.195236,55.268641,1105,1538.46,2,3,2
1310,Downtown Dubai,25.195236,55.268641,674,1567.82,1,1,1
1311,Downtown Dubai,25.200879,55.276331000000006,1451,1722.95,2,3,2
1312,Downtown Dubai,25.200879,55.276331000000006,2220,2027.03,3,4,2
1314,Jumeirah Lake Towers,25.063302,55.137728,980,663.27,1,2,2
1315,Downtown Dubai,25.194282,55.271884,1555,1864.95,2,3,1
1316,Dubai Marina,25.084397,55.142039,765,771.24,1,2,1
1317,Dubai Marina,25.086726,55.145205,1376,1199.13,2,3,2
1318,Jumeirah Beach Residence,25.08058,55.139146999999994,1966,915.56,2,3,2
1319,Dubai Harbour,25.0967,55.139276,745,1991.8,1,2,2
1320,Dubai Marina,25.071504,55.128579,1356,1025.07,2,3,2
1321,Jumeirah Beach Residence,25.080787,55.13738000000001,2921,684.7,4,5,2
1322,Downtown Dubai,25.193641,55.284662,1062,1177.02,2,3,2
1323,Downtown Dubai,25.193641,55.284662,1002,963.07,1,2,2
1324,Jumeirah Beach Residence,25.072573,55.131009,1370,1678.83,2,3,3
1325,Dubai Land,25.107743,55.36901999999999,770,454.55,1,1,2
1326,Dubai Marina,25.075974,55.135687,768,1367.19,1,2,2
1327,Jumeirah Lake Towers,25.071246,55.140806000000005,569,931.46,1,1,2
1328,Jumeirah Village Circle,25.051384,55.2121,1016,786.42,2,3,2
1329,Dubai Sports City,25.042351,55.205661,683,585.65,1,2,2
1330,Jumeirah Village Circle,25.064018,55.207506,790,556.96,1,1,2
1331,Dubai Sports City,25.041304,55.205119,1343,594.94,2,3,1
1332,Al Furjan,25.034563,55.142462,766,783.29,1,2,2
1333,Motor City,25.045775,55.25028199999999,2131,586.58,3,3,1
1334,Business Bay,25.18195,55.277238,619,1050.08,1,1,2
1335,Town Square,25.005442,55.293914,885,757.06,2,2,2
1336,Downtown Dubai,25.191107,55.26991,880,1135.23,1,1,1
1337,Downtown Dubai,25.19049,55.27095500000001,1517,1087.67,2,3,3
1338,DAMAC Hills,25.012842000000003,55.253595,851,822.56,1,2,2
1339,Meydan,25.145181,55.288017,2795,1064.4,4,5,2
1340,Palm Jumeirah,25.116077,55.141068,2931,1228.25,3,4,2
1341,Palm Jumeirah,25.114513,55.136122,4053,801.88,3,3,2
1342,Remraam,25.00292,55.256553,1006,646.12,2,2,2
1343,Town Square,25.008885,55.289975,1431,607.97,3,3,2
1344,Al Barari,25.099422,55.31296700000001,4026,1068.06,3,4,1
1345,Mohammed Bin Rashid City,25.171460999999997,55.2758,760,1618.42,1,2,2
1346,Palm Jumeirah,25.112604,55.143347,1590,786.16,2,4,2
1347,Palm Jumeirah,25.113366,55.13609,4053,1036.27,3,4,1
1348,Dubai Production City (IMPZ),25.024387,55.183351,1070,869.16,2,2,1
1349,Greens,25.094635,55.171817,1767,905.49,3,2,1
1350,Downtown Dubai,25.191527,55.274545,1838,1468.99,3,4,2
1351,The Views,25.089515,55.171022,1237,1131.77,2,2,1
1352,Bluewaters,25.079537,55.12154,1154,2079.72,1,1,2
1353,Jumeirah Beach Residence,25.07715,55.135515000000005,1294,911.9,2,3,2
1354,Dubai Marina,25.068151,55.129647,1490,704.7,2,3,1
1355,Bluewaters,25.077424,55.12324,1155,2160.17,1,2,2
1356,Jumeirah Village Circle,25.066475,55.214533,421,878.86,0,1,3
1357,Downtown Dubai,25.202977,55.280662,1104,1449.28,2,2,1
1358,Dubai Marina,25.090418,55.14874,1850,1297.3,3,4,1
1359,Dubai Marina,25.076576,55.13684,2430,864.2,2,3,1
1360,Business Bay,25.180869,55.271015000000006,1967,610.07,2,4,3
1361,Jumeirah Village Circle,25.04866,55.20955,840,738.32,1,2,2
1362,Jumeirah Village Circle,25.04866,55.20955,895,848.04,2,3,2
1363,Dubai Marina,25.082217,55.142624,529,1737.24,0,1,2
1364,Downtown Dubai,25.19331,55.280919,1338,1793.72,2,3,2
1365,Jumeirah Village Circle,25.04866,55.20955,895,848.04,2,2,3
1366,Jumeirah Village Circle,25.04866,55.20955,1575,755.87,3,4,3
1367,Jumeirah Village Circle,25.04866,55.20955,840,738.32,1,2,3
1368,Jumeirah Village Circle,25.04866,55.20955,1575,755.56,3,4,3
1369,Jumeirah Village Circle,25.04866,55.20955,840,738.32,1,2,2
1370,Jumeirah Village Circle,25.04866,55.20955,895,848.04,2,3,2
1371,Jumeirah Village Circle,25.04866,55.20955,1575,755.87,3,4,2
1372,Dubai Marina,25.081421,55.141711,1480,1182.43,2,2,2
1373,Dubai Marina,25.086575,55.147768000000006,868,1647.47,1,2,2
1374,Meydan,25.145181,55.288017,2800,892.86,3,4,2
1375,Downtown Dubai,25.194935,55.282665,1445,1730.1,2,2,2
1376,Palm Jumeirah,25.113208,55.138932,1057,2951.66,1,1,1
1377,Al Barari,25.100921,55.313162,2809,943.4,2,3,2
1378,Jumeirah Village Circle,25.04866,55.20955,840,738.32,1,2,2
1379,Jumeirah Village Circle,25.04866,55.20955,895,848.04,2,2,2
1380,Dubai Marina,25.087251,55.145574,1282,1560.06,2,2,2
1381,Jumeirah Village Circle,25.04866,55.20955,1575,755.87,3,3,2
1382,Downtown Dubai,25.19702,55.271023,1167,1542.42,2,2,2
1383,Jumeirah Village Circle,25.04866,55.20955,840,738.32,1,2,2
1384,Jumeirah Village Circle,25.04866,55.20955,895,848.04,2,3,2
1385,Al Sufouh,25.110967,55.178082,1044,862.07,1,2,1
1386,Greens,25.093469,55.173061,754,835.54,1,1,2
1387,Al Sufouh,25.108984,55.177657,773,1098.32,1,2,1
1388,Jumeirah Village Circle,25.04866,55.20955,1573,756.83,3,4,2
1389,Downtown Dubai,25.195236,55.268641,1041,1913.44,1,2,1
1390,Downtown Dubai,25.194186,55.269439,1262,2258.32,2,2,2
1391,Jumeirah Beach Residence,25.079895,55.134126,849,1644.29,1,2,2
1392,Downtown Dubai,25.194186,55.269439,739,2063.6,1,1,2
1393,Downtown Dubai,25.200879,55.276331000000006,1271,2753.74,2,3,1
1394,Jumeirah Lake Towers,25.071246,55.140806000000005,2903,1067.86,3,4,2
1395,Downtown Dubai,25.195236,55.268641,1150,1391.3,2,3,1
1396,Dubai Harbour,25.09938,55.141275,747,2579.5,1,2,1
1397,Dubai Hills Estate,25.114013,55.247629,959,1308.54,2,3,2
1398,Downtown Dubai,25.198796,55.271342,1484,1954.18,2,3,2
1399,Palm Jumeirah,25.115834,55.139716,1975,784.81,2,3,2
1400,Business Bay,25.19003,55.265426,3007,964.42,3,4,3
1401,Mudon,25.01936,55.267193000000006,1605,795.02,2,3,2
1402,Mudon,25.01936,55.267193000000006,1485,1205.39,3,4,2
1403,Dubai Marina,25.073778,55.132888,1366,1244.51,2,3,2
1404,Dubai Marina,25.086376,55.14736,619,1534.73,1,1,2
1405,Dubai Marina,25.071504,55.128579,1444,761.08,2,2,2
1406,Dubai Sports City,25.035109,55.221523,447,894.85,0,1,2
1407,Jumeirah Beach Residence,25.075624,55.132511,1813,1323.77,3,3,1
1408,Jumeirah Village Circle,25.068608,55.207423,851,587.54,1,2,2
1409,DIFC,25.211032,55.28205,1757,1536.71,2,3,2
1410,Downtown Dubai,25.194328,55.269307999999995,637,2017.09,1,2,2
1411,Dubai Sports City,25.038808,55.20499,1012,567.19,2,3,2
1412,Downtown Dubai,25.194328,55.269307999999995,637,1995.11,1,2,2
1413,Dubai Marina,25.086726,55.145205,1787,1231.11,3,3,2
1414,Business Bay,25.185823000000003,55.291922,1967,940.52,3,3,1
1415,Arjan,25.06705,55.245559,703,810.81,1,2,2
1416,Downtown Dubai,25.197198,55.274378000000006,1607,1742.38,3,4,1
1417,Motor City,25.0476,55.248748,1642,484.17,2,2,1
1418,Downtown Dubai,25.187093,55.278912,1443,1108.72,2,3,3
1419,Palm Jumeirah,25.110345,55.142538,1800,791.67,2,2,2
1420,Jumeirah Beach Residence,25.081251,55.138518999999995,1285,699.61,2,2,2
1421,Dubai Marina,25.074167000000003,55.137779,1324,1208.42,2,2,3
1422,Palm Jumeirah,25.110632,55.145767000000006,1145,1221.83,1,2,1
1423,Downtown Dubai,25.191753,55.27281800000001,1186,1475.55,1,2,1
1424,Downtown Dubai,25.194761,55.282343,1506,2324.04,2,3,1
1425,Jumeirah Beach Residence,25.080787,55.13738000000001,2500,1200.0,3,2,3
1426,Dubai Marina,25.084335999999997,55.14925,1509,1590.42,2,2,2
1427,Bluewaters,25.077982,55.123037,2102,2140.82,3,4,2
1428,Dubai Marina,25.072375,55.136286,1674,1792.11,3,4,3
1429,Jumeirah Beach Residence,25.072569,55.126527,640,2343.75,1,2,2
1430,Jumeirah Beach Residence,25.072569,55.126527,1181,2878.92,3,4,2
1431,Jumeirah Beach Residence,25.072569,55.126527,3641,2746.5,4,5,2
1432,Dubai Marina,25.086376,55.14736,616,2272.73,1,1,2
1433,Dubai Marina,25.082518,55.146735,2490,1000.0,3,4,2
1434,Discovery Gardens,25.03335,55.150016,828,495.17,1,2,2
1435,Mohammed Bin Rashid City,25.177819,55.308533,493,1620.69,1,1,2
1436,Jumeirah Lake Towers,25.065736,55.137452,450,877.78,0,1,3
1437,Business Bay,25.189020000000003,55.282216000000005,1741,867.32,2,3,2
1438,Business Bay,25.189020000000003,55.282216000000005,1741,861.57,2,3,2
1439,Dubai Marina,25.073156,55.132798,1105,1221.72,2,2,1
1440,Jumeirah Village Circle,25.060989000000003,55.217377,400,872.5,1,1,1
1441,Jumeirah Village Circle,25.058746,55.209389,390,1092.31,0,1,2
1442,Jumeirah Beach Residence,25.081974,55.140306,2898,1949.62,5,4,2
1443,Jumeirah Beach Residence,25.082397,55.14066,2918,1062.37,4,3,2
1444,Dubai Marina,25.084335999999997,55.14925,3277,1678.36,5,4,2
1445,Jumeirah Village Circle,25.04866,55.20955,840,738.32,1,2,2
1446,Jumeirah Village Circle,25.04866,55.20955,895,848.04,2,3,2
1447,Jumeirah Village Circle,25.04866,55.20955,1575,755.87,3,4,2
1448,Dubai Marina,25.082004,55.142441000000005,1480,1081.08,2,3,2
1449,Dubai Sports City,25.039514,55.217965,727,618.98,1,2,2
1450,Jumeirah Beach Residence,25.082397,55.14066,1807,772.0,3,4,2
1451,Downtown Dubai,25.202977,55.280662,1714,1802.8,3,4,1
1452,Downtown Dubai,25.201204,55.270189,2000,2050.0,3,5,2
1453,Dubai Marina,25.068292,55.12918199999999,1739,460.03,2,3,3
1454,Dubai Marina,25.071718,55.135144999999994,941,765.14,1,2,2
1455,Town Square,25.010196,55.291467,581,851.98,1,1,2
1456,Dubai Marina,25.074958,55.138542,542,1439.11,0,1,2
1457,Palm Jumeirah,25.123735999999997,55.153599,2873,1670.73,3,4,2
